id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-caret-square-o-down;fa-caret-square-o-down css class;fa-caret-square-o-down
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-caret-square-o-right;fa-caret-square-o-right css class;fa-caret-square-o-right
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-caret-square-o-up;fa-caret-square-o-up css class;fa-caret-square-o-up
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-certificate;fa-certificate css class;fa-certificate
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-check;fa-check css class;fa-check
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-check-circle;fa-check-circle css class;fa-check-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-check-circle-o;fa-check-circle-o css class;fa-check-circle-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-check-square;fa-check-square css class;fa-check-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-check-square-o;fa-check-square-o css class;fa-check-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-circle;fa-circle css class;fa-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-circle-o;fa-circle-o css class;fa-circle-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-clock-o;fa-clock-o css class;fa-clock-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cloud;fa-cloud css class;fa-cloud
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cloud-download;fa-cloud-download css class;fa-cloud-download
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cloud-upload;fa-cloud-upload css class;fa-cloud-upload
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-code;fa-code css class;fa-code
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-code-fork;fa-code-fork css class;fa-code-fork
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-coffee;fa-coffee css class;fa-coffee
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cog;fa-cog css class;fa-cog
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cogs;fa-cogs css class;fa-cogs
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-comment;fa-comment css class;fa-comment
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-comment-o;fa-comment-o css class;fa-comment-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-comments;fa-comments css class;fa-comments
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-comments-o;fa-comments-o css class;fa-comments-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-compass;fa-compass css class;fa-compass
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-credit-card;fa-credit-card css class;fa-credit-card
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-crop;fa-crop css class;fa-crop
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-crosshairs;fa-crosshairs css class;fa-crosshairs
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cutlery;fa-cutlery css class;fa-cutlery
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-dashboard;fa-dashboard css class;fa-dashboard
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-desktop;fa-desktop css class;fa-desktop
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-download;fa-download css class;fa-download
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-edit;fa-edit css class;fa-edit
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ellipsis-h;fa-ellipsis-h css class;fa-ellipsis-h
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ellipsis-v;fa-ellipsis-v css class;fa-ellipsis-v
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-envelope;fa-envelope css class;fa-envelope
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-envelope-o;fa-envelope-o css class;fa-envelope-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-eraser;fa-eraser css class;fa-eraser
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-exchange;fa-exchange css class;fa-exchange
